event_id,interaction_id,event_type,source_file,source_line,raw_type,sha256
e_3bafd91c99231273,,lifecycle,D:\GoletaLabData\artifacts\raw\fileledger_full_session.jsonl,1,session_meta,4b829c12ccc075a6893ec8cb27fa686c069aeb34efa9777101c0eee038642356
e_c685044bb51eaa9f,,unknown,D:\GoletaLabData\artifacts\raw\fileledger_full_session.jsonl,2,event_msg,4b829c12ccc075a6893ec8cb27fa686c069aeb34efa9777101c0eee038642356
e_41100e0244029f3f,,assistant_message,D:\GoletaLabData\artifacts\raw\fileledger_full_session.jsonl,3,response_item,4b829c12ccc075a6893ec8cb27fa686c069aeb34efa9777101c0eee038642356
e_ac9c7dda376e45a5,i_ac9c7dda376e45a5,user_message,D:\GoletaLabData\artifacts\raw\fileledger_full_session.jsonl,4,response_item,4b829c12ccc075a6893ec8cb27fa686c069aeb34efa9777101c0eee038642356
e_d9da526f693c7613,i_ac9c7dda376e45a5,unknown,D:\GoletaLabData\artifacts\raw\fileledger_full_session.jsonl,5,world_state,4b829c12ccc075a6893ec8cb27fa686c069aeb34efa9777101c0eee038642356
e_455af683f994a502,i_ac9c7dda376e45a5,lifecycle,D:\GoletaLabData\artifacts\raw\fileledger_full_session.jsonl,6,turn_context,4b829c12ccc075a6893ec8cb27fa686c069aeb34efa9777101c0eee038642356
e_c7c76a87d1f29041,i_c7c76a87d1f29041,user_message,D:\GoletaLabData\artifacts\raw\fileledger_full_session.jsonl,7,response_item,4b829c12ccc075a6893ec8cb27fa686c069aeb34efa9777101c0eee038642356
e_74ce09636c6a35f3,i_c7c76a87d1f29041,unknown,D:\GoletaLabData\artifacts\raw\fileledger_full_session.jsonl,8,event_msg,4b829c12ccc075a6893ec8cb27fa686c069aeb34efa9777101c0eee038642356
e_017b258b7ca91078,i_c7c76a87d1f29041,unknown,D:\GoletaLabData\artifacts\raw\fileledger_full_session.jsonl,9,event_msg,4b829c12ccc075a6893ec8cb27fa686c069aeb34efa9777101c0eee038642356
e_57a5d19f7931eb8c,i_c7c76a87d1f29041,assistant_message,D:\GoletaLabData\artifacts\raw\fileledger_full_session.jsonl,10,response_item,4b829c12ccc075a6893ec8cb27fa686c069aeb34efa9777101c0eee038642356
e_142cdad320268608,i_c7c76a87d1f29041,tool_call,D:\GoletaLabData\artifacts\raw\fileledger_full_session.jsonl,11,response_item,4b829c12ccc075a6893ec8cb27fa686c069aeb34efa9777101c0eee038642356
e_65b830742dbd520b,i_c7c76a87d1f29041,unknown,D:\GoletaLabData\artifacts\raw\fileledger_full_session.jsonl,12,event_msg,4b829c12ccc075a6893ec8cb27fa686c069aeb34efa9777101c0eee038642356
e_fad90515dd6c20cb,i_c7c76a87d1f29041,tool_result,D:\GoletaLabData\artifacts\raw\fileledger_full_session.jsonl,13,response_item,4b829c12ccc075a6893ec8cb27fa686c069aeb34efa9777101c0eee038642356
e_d76ab9cf2e332273,i_c7c76a87d1f29041,unknown,D:\GoletaLabData\artifacts\raw\fileledger_full_session.jsonl,14,event_msg,4b829c12ccc075a6893ec8cb27fa686c069aeb34efa9777101c0eee038642356
e_475d3479c22570a1,i_c7c76a87d1f29041,tool_call,D:\GoletaLabData\artifacts\raw\fileledger_full_session.jsonl,15,response_item,4b829c12ccc075a6893ec8cb27fa686c069aeb34efa9777101c0eee038642356
e_31233c22de0b6d2c,i_c7c76a87d1f29041,unknown,D:\GoletaLabData\artifacts\raw\fileledger_full_session.jsonl,16,event_msg,4b829c12ccc075a6893ec8cb27fa686c069aeb34efa9777101c0eee038642356
e_283e8864ac9d2295,i_c7c76a87d1f29041,tool_result,D:\GoletaLabData\artifacts\raw\fileledger_full_session.jsonl,17,response_item,4b829c12ccc075a6893ec8cb27fa686c069aeb34efa9777101c0eee038642356
